year,billion_dollar_disasters,total_disaster_cost_millions,total_deaths
1980,3,41058.8,1280
1981,2,3133.3,20
1982,5,13661.6,243
1983,3,22902.8,172
1984,2,2893.1,81
1985,7,20264.8,379
1986,2,6049.1,113
1988,1,49009.7,454
1989,6,36270.6,228
1990,4,13129.400000000001,30
1991,4,17626.6,43
1992,7,71870.4,113
1993,5,59109.2,339
1994,6,14893.9,133
1995,7,31966.6,977
1996,4,19689.7,233
1997,4,15422.099999999999,246
1998,9,32801.9,289
1999,5,22046.0,659
2000,5,13978.0,147
2001,3,19575.2,46
2002,6,24458.6,63
2003,7,34533.4,180
2004,6,82880.4,172
2005,6,240564.5,2002
2006,8,22678.0,97
2007,5,16939.199999999997,37
2008,12,84622.3,315
2009,9,17826.2,43
2010,7,18133.4,51
2011,18,88181.3,765
2012,11,143234.9,377
2013,10,29046.1,114
2014,9,21901.2,53
2015,11,27797.6,158
2016,15,55055.3,138
2017,18,354704.7,3280
2018,15,103344.7,247
2019,14,49928.1,44
2020,22,108673.1,262
2021,20,148035.6,724
